1,GPT4o,0.5021653175354004,Easy,Test case passed!
1,Human,0.485384464263916,Easy,Test case passed!
2,GPT4o,0.0008995532989501953,Easy,Test case passed!
2,Human,0.0007765293121337891,Easy,Test case passed!
3,GPT4o,0.0006144046783447266,Easy,Test case passed!
3,Human,0.0006139278411865234,Easy,Test case passed!
4,GPT4o,0.5189192295074463,Easy,Test case passed!
4,Human,0.5205466747283936,Easy,Test case passed!
5,GPT4o,0.0010976791381835938,Easy,Test case passed!
5,Human,0.0009963512420654297,Easy,Test case passed!
6,GPT4o,0.6979625225067139,Easy,Test case passed!
6,Human,0.5956823825836182,Easy,Test case passed!
7,GPT4o,0.051056861877441406,Easy,Test case passed!
7,Human,0.04625749588012695,Easy,Test case passed!
8,GPT4o,0.007306337356567383,Easy,Test case passed!
8,Human,0.002602815628051758,Easy,Test case passed!
9,GPT4o,0.0047109127044677734,Easy,Test case failed!
9,Human,0.0047168731689453125,Easy,Test case passed!
10,GPT4o,0.004048347473144531,Easy,Test case passed!
10,Human,0.0010902881622314453,Easy,Test case passed!
11,GPT4o,0.0010809898376464844,Medium,Test case passed!
11,Human,0.0009381771087646484,Medium,Test case passed!
12,GPT4o,0.0051119327545166016,Medium,Test case passed!
12,Human,0.004291534423828125,Medium,Test case passed!
13,GPT4o,0.0008945465087890625,Medium,Test case passed!
13,Human,0.000957489013671875,Medium,Test case passed!
14,GPT4o,0.00452113151550293,Medium,Test case passed!
14,Human,0.003965616226196289,Medium,Test case passed!
15,GPT4o,0.008024454116821289,Medium,Test case passed!
15,Human,0.007487773895263672,Medium,Test case passed!
16,GPT4o,0.07758784294128418,Medium,Test case passed!
16,Human,0.0693807601928711,Medium,Test case passed!
17,GPT4o,0.004411220550537109,Medium,Test case failed!
17,Human,0.004244327545166016,Medium,Test case passed!
18,GPT4o,0.0019538402557373047,Medium,Test case passed!
18,Human,0.0013608932495117188,Medium,Test case passed!
19,GPT4o,0.0012564659118652344,Medium,Test case passed!
19,Human,0.001003265380859375,Medium,Test case passed!
20,GPT4o,0.0048389434814453125,Medium,Test case passed!
20,Human,0.004622459411621094,Medium,Test case passed!
21,GPT4o,0.0013132095336914062,Hard,Test case passed!
21,Human,0.0013735294342041016,Hard,Test case passed!
22,GPT4o,0.039308786392211914,Hard,Test case passed!
22,Human,0.034117698669433594,Hard,Test case passed!
23,GPT4o,0.0009291172027587891,Hard,Test case passed!
23,Human,0.0007433891296386719,Hard,Test case passed!
24,GPT4o,0.0013930797576904297,Hard,Test case passed!
24,Human,0.0010519027709960938,Hard,Test case passed!
25,GPT4o,0.012773513793945312,Hard,Test case passed!
25,Human,0.004900932312011719,Hard,Test case passed!
26,GPT4o,0.0009279251098632812,Hard,Test case passed!
26,Human,0.0010485649108886719,Hard,Test case passed!
27,GPT4o,0.0011456012725830078,Hard,Test case passed!
27,Human,0.0010769367218017578,Hard,Test case passed!
28,GPT4o,0.0007042884826660156,Hard,Test case passed!
28,Human,0.0007879734039306641,Hard,Test case passed!
29,GPT4o,0.0780649185180664,Hard,Test case failed!
29,Human,0.09633302688598633,Hard,Test case passed!
30,GPT4o,0.00138092041015625,Hard,Test case passed!
30,Human,0.0013837814331054688,Hard,Test case passed!
